vize,katilim,final
93,66,66.03
72,56,52.73
40,2,22.0
32,48,42.86
35,20,27.25
49,26,28.6
17,78,32.77
88,91,79.05
100,91,86.22
81,5,56.95
82,45,52.91
44,21,32.2
41,11,20.35
89,47,76.43
97,32,68.25
66,60,50.73
27,33,17.04
13,85,33.55
15,75,31.66
25,75,31.67
97,28,68.08
88,100,91.02
41,7,36.46
84,52,61.39
67,27,53.79
47,27,28.96
20,0,14.64
35,44,40.24
76,61,62.63
80,92,71.46
5,6,6.06
51,28,44.81
92,25,53.07
59,68,65.06
82,46,66.78
34,92,45.56
18,48,15.64
36,90,43.17
73,31,50.13
34,80,41.95
54,68,54.05
75,12,50.04
58,28,52.71
95,32,69.98
61,54,53.38
27,8,23.8
30,70,41.89
68,23,53.23
32,31,19.8
6,84,37.64
2,75,20.82
35,45,28.85
30,76,32.28
64,72,63.48
29,77,35.42
50,51,40.44
34,59,42.25
85,25,62.6
40,93,43.59
67,44,52.92
25,51,22.33
61,22,33.44
9,71,27.77
46,18,32.32
26,21,24.43
22,57,27.0
60,70,52.6
48,95,57.63
9,26,16.75
3,10,6.29
75,78,62.03
33,9,12.85
7,17,6.06
27,67,40.38
17,10,19.0
87,3,54.24
33,64,29.32
60,48,41.98
95,83,85.51
38,28,39.39
16,83,37.88
23,45,32.98
17,64,25.48
87,46,73.21
29,10,26.89
63,24,53.38
44,77,42.91
97,11,63.71
28,56,35.92
14,64,31.95
72,19,53.76
69,91,71.99
6,75,31.72
19,65,31.78
73,86,67.38
59,29,34.64
67,23,49.69
26,19,13.98
10,61,34.03
14,99,46.52
84,40,70.86
41,14,36.13
29,67,43.59
38,19,37.4
8,18,19.34
56,31,40.52
75,3,44.68
84,83,73.34
93,2,54.48
23,18,15.8
67,17,40.18
93,11,68.13
78,51,57.5
46,31,35.0
40,61,33.0
8,54,22.52
40,75,36.63
6,22,5.0
71,48,66.03
19,95,40.6
42,55,33.72
54,13,30.03
100,32,75.81
5,80,30.89
69,83,59.31
96,18,58.45
67,73,70.47
73,20,58.72
86,87,82.34
36,48,35.47
0,68,22.34
11,31,12.32
15,75,38.61
64,36,48.3
11,74,27.29
97,54,83.49
52,53,40.51
44,96,58.7
39,50,30.67
51,2,33.92
92,32,69.93
77,57,54.91
18,33,11.12
53,64,56.65
4,94,22.43
53,17,35.2
28,37,32.67
17,33,23.82
19,21,14.5
53,76,56.37
74,24,56.67
63,42,47.64
84,69,76.27
51,80,64.13
69,21,56.23
55,71,52.67
65,68,52.12
15,6,9.78
31,0,11.38
38,62,39.81
20,43,17.58
47,48,42.27
48,97,58.86
99,14,58.8
84,100,89.24
14,86,34.38
50,43,44.7
46,70,55.28
77,35,47.27
70,11,50.9
26,13,21.47
70,13,53.12
44,18,26.8
87,97,86.72
29,45,26.35
89,74,78.9
73,67,55.84
20,12,9.68
35,36,33.73
35,61,42.58
46,27,41.1
63,40,53.6
24,61,28.4
11,58,17.78
59,66,51.02
2,41,7.71
100,5,67.24
87,68,78.29
100,9,65.64
70,28,47.98
90,71,81.69
65,13,35.54
27,68,31.66
92,12,50.6
37,16,30.62
7,94,37.63
17,67,25.36
88,41,58.73
48,13,33.17
40,36,42.9
47,7,38.29
89,23,52.94
16,40,15.4
23,31,21.7
67,58,53.83
87,58,71.42
26,55,22.2
77,23,49.83
55,89,63.48
36,35,32.82
13,85,36.53
73,82,63.97
16,20,10.66
71,40,57.27
46,82,59.23
57,81,52.55
89,17,51.5
16,36,25.86
33,95,50.01
97,72,87.28
11,33,9.95
65,76,53.01
98,11,62.62
57,92,61.19
21,8,9.18
43,19,25.14
89,74,74.11
2,53,12.56
99,28,74.51
16,34,19.62
42,69,46.98
12,3,15.53
98,94,85.77
80,99,74.86
93,69,73.07
95,78,83.43
0,4,0.0
62,1,41.07
79,32,47.25
81,89,68.52
36,2,23.08
100,22,62.73
48,100,58.77
95,66,77.81
39,17,35.94
65,31,58.15
84,88,80.85
80,99,79.89
11,99,44.36
2,17,7.35
27,21,18.46
27,93,45.21
18,43,20.47
71,24,49.33
28,64,30.92
50,68,56.31
15,18,5.84
1,71,13.47
88,87,76.68
5,11,9.83
47,55,49.92
100,71,75.95
9,55,30.8
79,28,46.7
31,89,42.73
47,58,37.33
75,12,58.37
13,0,5.29
84,47,72.88
43,78,54.13
62,64,50.15
37,23,19.67
43,37,27.38
79,28,48.09
71,21,46.23
63,76,65.1
42,94,47.84
9,32,14.76
22,7,22.98
63,6,43.81
93,26,55.19
89,45,67.72
43,6,36.95
34,36,34.05
60,78,51.05
46,21,31.37
36,46,26.84
31,30,21.12
68,28,45.41
69,7,45.8
25,66,36.76
27,68,31.76
66,0,48.25
86,42,65.37
92,34,62.23
2,43,23.17
4,60,21.13
98,55,84.51
67,87,72.43
26,99,52.59
26,89,51.1
51,16,31.71
23,48,23.61
94,88,75.23
38,24,30.73
47,21,42.92
82,42,61.12
66,37,47.45
90,23,63.37
58,36,44.4
70,30,54.96
40,98,49.93
12,49,15.72
5,39,6.75
45,63,41.16
28,30,27.58
10,54,15.67
12,25,23.83
33,87,55.14
12,60,26.48
92,9,52.17
35,40,41.66
48,94,60.23
77,44,59.11
20,5,4.12
98,96,96.37
40,99,47.26
90,68,66.5
14,52,19.24
91,1,57.28
49,3,22.27
58,31,54.04
56,98,65.35
55,20,40.78
51,46,35.73
94,59,69.33
96,68,75.37
50,10,31.16
14,34,17.33
18,1,4.62
60,71,51.2
87,76,71.79
95,53,63.52
48,59,53.43
24,82,42.5
31,88,45.92
53,64,60.46
87,41,55.14
67,79,54.3
86,59,64.57
4,30,18.8
16,35,11.52
89,53,65.52
22,83,41.86
25,29,19.2
100,34,69.71
63,61,63.23
15,74,25.3
38,48,46.62
84,5,58.04
98,88,83.0
67,73,57.1
41,60,44.37
34,85,45.62
96,87,92.97
77,36,59.92
82,1,49.41
88,82,83.46
63,63,53.74
92,77,85.56
15,27,10.2
61,48,59.91
61,5,38.96
81,30,64.43
75,92,74.87
20,7,8.08
27,85,39.12
57,6,43.6
82,17,45.66
1,40,3.12
45,93,62.55
15,72,37.64
8,39,13.48
84,9,48.52
54,38,47.01
28,96,52.92
25,9,10.43
57,58,43.14
79,97,67.24
0,79,18.63
98,47,73.11
71,6,46.66
61,60,45.71
15,14,4.93
65,47,54.93
34,92,49.22
6,56,20.55
34,63,40.0
71,74,69.69
4,91,28.87
79,25,63.0
68,12,36.87
65,8,33.05
75,74,75.82
33,15,22.13
67,9,48.88
42,90,51.88
28,45,24.64
67,18,52.02
10,72,28.15
49,63,57.45
97,45,73.3
93,63,82.93
3,8,10.31
47,55,36.49
39,31,26.6
28,44,27.96
69,72,63.55
3,79,22.94
69,4,37.42
36,55,32.01
24,66,41.5
37,15,31.25
94,19,54.86
25,55,24.42
0,32,0.22
4,25,13.41
74,28,49.09
7,100,33.91
40,60,33.51
73,73,59.41
93,14,65.72
64,100,74.98
55,56,50.31
69,4,46.57
25,70,42.04
11,24,12.24
25,18,23.58
87,81,66.76
47,62,46.59
32,94,45.74
33,100,45.02
46,84,62.01
70,23,46.82
26,35,24.84
51,1,35.52
27,95,49.65
98,60,66.98
62,96,65.75
98,68,83.24
76,3,40.65
4,52,10.27
92,86,73.08
66,4,32.55
26,44,28.02
60,99,68.18
100,27,72.89
85,9,56.08
74,91,69.65
73,14,53.18
25,56,39.33
47,1,20.44
81,41,66.32
100,94,81.14
59,84,55.63
14,28,13.07
27,34,22.05
83,11,55.05
73,50,62.8
78,100,67.68
71,9,40.63
92,83,74.85
41,8,30.74
21,90,41.12
22,5,20.94
94,85,84.56
36,37,30.52
4,87,36.81
1,97,25.58
60,76,60.73
97,87,79.93
6,37,11.44
97,96,94.87
43,45,46.73
85,13,46.8
92,34,57.77
90,21,68.93
95,55,68.57
11,29,14.91
52,91,68.36
78,13,44.12
70,38,54.94
81,30,52.39
43,43,28.91
71,70,68.04
64,4,45.9
75,2,38.78
29,86,46.9
40,24,35.4
31,78,47.47
5,25,13.51
9,89,26.1
81,33,53.63
40,86,56.9
69,68,59.44
70,33,53.32
23,9,20.29
17,15,5.92
65,81,63.87
10,73,23.61
5,31,5.54
18,56,21.21
3,98,27.65
25,60,28.77
99,54,74.88
66,28,56.08
10,31,11.93
85,78,81.65
92,12,53.85
16,68,20.43
12,27,9.87
49,69,40.42
100,29,68.28
15,35,10.33
80,14,45.04
29,79,35.65
19,85,44.18
47,59,38.9
23,1,18.16
79,79,68.38
78,54,55.23
15,37,15.76
31,72,43.34
63,51,48.94
11,74,19.58
54,50,54.73
30,59,44.97
57,77,66.61
92,19,68.47
88,74,80.05
62,58,62.95
25,29,29.85
29,14,19.67
89,93,81.92
98,93,92.23
3,3,0.0
40,73,41.45
24,72,43.51
28,7,10.45
19,22,16.11
18,82,35.92
17,50,31.76
75,68,61.64
13,84,27.46
40,52,33.38
30,8,20.8
33,66,34.51
10,65,27.05
45,2,37.5
37,95,42.71
52,83,55.05
12,7,14.51
75,86,61.28
72,63,53.24
37,30,39.67
51,60,42.12
16,4,10.65
12,91,28.05
71,50,56.22
68,60,66.55
30,16,17.8
30,42,26.66
8,88,28.76
94,61,72.0
66,94,68.47
70,36,44.31
48,67,52.75
82,24,46.83
2,20,1.8
83,75,63.99
16,22,8.86
48,42,39.56
75,23,57.14
94,47,67.21
54,45,53.81
48,100,65.37
49,88,61.16
76,98,73.67
20,36,23.56
51,10,40.36
17,61,38.33
44,43,45.57
79,80,70.0
38,35,24.65
92,89,77.13
6,26,10.32
79,79,64.06
100,63,86.75
57,61,44.33
3,14,0.0
68,46,58.38
53,84,61.62
58,92,61.57
50,22,32.16
3,17,0.0
50,25,39.32
42,93,54.83
57,43,43.91
36,2,16.32
15,44,26.22
48,39,34.24
88,13,60.92
89,92,86.31
6,81,26.63
25,17,24.42
59,93,54.31
90,27,53.69
2,13,14.24
49,62,41.42
94,56,79.5
0,52,14.67
13,50,29.69
37,75,37.89
64,35,48.95
51,21,42.84
74,94,74.66
30,89,45.23
45,64,52.86
24,31,18.45
55,2,28.35
2,85,31.69
9,88,25.79
72,30,58.54
7,23,17.74
83,33,67.37
93,75,82.03
90,89,80.67
40,31,35.68
40,62,45.24
96,72,78.99
37,34,28.68
69,36,53.23
54,80,49.75
22,18,17.37
97,59,72.03
70,12,49.09
30,63,36.87
16,12,17.74
68,27,46.68
62,44,54.01
91,92,83.83
18,70,26.44
81,44,65.34
9,88,26.41
50,14,41.57
14,70,36.13
44,100,53.79
33,85,48.51
77,5,45.62
71,56,58.18
88,50,70.74
35,82,55.51
28,96,54.68
84,66,76.04
0,27,9.29
48,17,35.54
95,68,74.29
89,29,57.49
12,5,15.54
76,88,64.39
15,26,12.29
53,46,47.89
29,69,37.39
27,43,22.52
8,99,24.65
66,2,47.63
57,51,58.21
82,6,42.92
39,23,20.44
85,12,50.51
88,67,66.62
81,50,57.9
38,45,39.51
2,71,24.28
66,72,69.66
26,96,46.74
74,29,55.87
14,86,39.62
48,6,26.02
30,83,35.04
9,44,23.62
6,47,15.04
36,44,34.18
81,24,53.9
5,11,2.91
87,75,65.29
50,22,30.51
14,79,23.21
43,34,44.8
65,70,61.41
54,49,44.42
67,51,56.99
40,51,31.66
27,3,15.08
82,71,71.77
21,61,22.73
0,34,9.38
79,2,55.43
35,82,41.63
23,99,44.52
91,47,69.51
64,1,41.79
14,38,29.15
24,51,26.92
45,11,27.08
97,18,59.24
16,9,19.75
69,73,65.02
16,42,27.2
55,34,41.46
72,36,53.18
16,83,30.63
28,72,37.49
3,82,34.93
7,57,18.81
90,74,81.49
76,32,55.58
87,67,72.74
32,56,32.51
75,76,73.68
21,30,29.9
33,79,49.25
52,79,63.16
84,67,78.73
76,53,56.45
50,2,26.53
96,36,67.05
39,61,50.15
1,9,5.88
42,29,38.76
39,16,33.15
96,50,76.95
68,50,56.55
91,50,65.92
44,42,38.71
43,16,30.77
98,27,63.95
34,17,29.97
23,98,48.21
36,96,45.57
43,93,48.59
78,55,67.38
96,15,57.72
39,49,47.2
4,15,5.97
44,17,33.2
30,99,50.01
98,17,68.83
30,44,33.48
97,65,85.02
98,58,67.21
25,86,31.6
44,11,31.13
50,53,44.93
75,46,57.97
30,30,28.29
63,1,35.48
61,70,58.9
28,82,44.0
74,85,79.4
69,99,75.32
38,74,39.38
94,39,65.34
5,41,12.84
0,44,17.98
60,27,53.78
8,5,7.66
72,38,53.81
75,57,58.24
51,47,52.57
96,5,63.13
53,54,52.43
39,18,19.23
97,0,60.16
15,98,46.02
89,64,70.01
81,93,76.48
2,1,8.85
80,88,75.84
45,87,55.57
49,40,33.84
51,31,38.68
28,84,34.82
64,78,54.52
77,17,45.58
33,6,12.51
36,63,41.77
10,3,7.25
81,3,45.79
91,1,57.59
2,93,31.25
13,14,16.88
1,78,32.61
88,84,81.02
86,1,57.05
6,58,30.35
20,9,7.26
42,79,49.21
84,54,68.54
67,1,37.31
74,77,58.86
50,98,63.22
90,88,71.67
70,41,47.26
0,20,8.74
67,89,60.26
5,37,11.3
10,35,17.34
63,84,57.65
83,7,43.48
42,9,23.57
35,92,53.86
7,95,28.62
97,10,70.94
52,59,54.91
51,48,50.78
62,53,58.85
34,57,41.87
69,64,66.92
76,80,69.07
20,34,27.79
88,15,57.88
45,0,27.39
97,83,81.69
16,12,13.0
32,31,32.96
14,21,12.84
90,1,46.28
80,44,64.29
89,15,57.84
46,68,46.26
75,66,64.68
49,27,42.07
45,30,29.39
89,52,76.08
66,77,64.33
26,47,35.47
28,88,47.35
42,55,37.65
45,0,22.22
25,0,19.89
16,10,7.32
47,92,49.87
89,91,73.89
50,41,43.48
93,78,73.39
26,21,25.98
8,93,30.35
16,89,43.9
98,43,70.74
68,7,37.22
55,55,49.86
28,60,43.53
63,1,33.41
32,44,29.99
30,23,30.31
0,41,7.6
62,89,64.08
79,24,57.01
79,3,47.76
46,60,55.23
26,95,41.39
4,3,0.0
2,80,25.59
52,4,27.81
50,52,51.96
88,45,69.9
59,61,59.31
63,95,75.41
58,88,59.49
27,51,32.9
86,100,75.98
32,79,33.21
93,39,75.62
38,43,31.3
39,64,36.7
31,25,28.44
49,72,42.84
8,48,15.18
35,91,42.54
38,55,34.15
50,22,42.49
61,45,45.2
83,99,72.42
35,8,21.31
8,89,30.79
97,62,71.71
76,100,84.43
51,0,27.81
69,88,59.32
16,1,12.85
69,91,77.31
91,11,54.17
57,11,38.12
38,22,37.3
62,35,48.72
32,43,35.64
99,39,71.06
64,8,39.98
38,37,41.1
41,28,39.51
11,10,6.56
49,54,43.5
34,4,30.56
86,65,72.92
43,67,48.87
83,50,71.28
77,68,56.71
97,16,64.77
17,94,28.6
60,28,47.01
34,12,17.1
78,79,63.3
78,71,77.95
46,36,28.68
84,87,83.27
16,37,23.63
70,11,54.02
87,18,58.78
97,43,65.16
42,25,38.5
49,82,46.9
59,10,46.4
71,1,50.31
84,63,79.25
78,3,46.9
100,88,92.22
41,19,39.92
45,2,23.7
32,46,29.59
62,83,64.09
77,99,78.53
59,36,54.99
13,28,16.46
87,85,79.9
29,47,24.6
50,19,26.39
89,49,60.31
47,6,35.47
96,14,59.37
76,47,60.54
86,39,68.19
7,57,15.78
97,63,83.78
59,66,52.38
41,6,31.53
37,72,33.82
76,57,56.08
18,4,14.0
66,4,42.18
23,9,19.27
18,34,18.57
91,19,60.04
20,75,30.35
43,57,50.89
0,15,13.01
39,52,46.96
58,67,48.93
74,67,66.69
20,93,44.2
45,26,27.61
33,36,35.51
48,87,51.09
42,36,38.05
76,80,62.43
71,61,60.64
8,90,28.17
52,81,59.22
63,66,59.14
85,93,86.33
59,3,26.67
26,25,27.72
92,57,74.8
33,49,35.24
32,10,27.65
3,48,7.55
83,72,67.2
46,38,45.94
82,72,68.9
53,11,41.01
25,43,27.45
17,30,22.04
78,16,59.97
69,56,50.26
58,47,53.32
69,37,47.18
11,72,24.55
83,46,58.72
56,38,50.27
59,8,45.33
43,71,40.27
12,80,23.24
60,20,38.27
42,52,35.53
21,24,29.42
22,46,36.56
15,53,30.54
21,27,28.0
68,13,39.03
48,88,58.69
14,80,38.57
70,89,61.76
36,4,13.81
46,78,51.72
20,68,38.56
91,76,82.39
41,62,52.44
29,63,38.61
56,83,49.03
43,54,44.3
72,94,73.89
29,86,37.48
68,29,54.3
0,12,4.23
74,77,60.93
100,85,89.79
16,24,21.53
38,85,55.93
80,24,49.87
37,48,26.9
35,39,36.98
10,37,24.49
20,58,25.89
52,34,50.54
91,41,60.03
31,81,46.91
39,61,47.59
72,42,50.43
62,73,64.12
56,14,40.98
3,13,7.47
11,37,9.19
64,42,43.04
32,95,53.23
12,33,15.87
17,82,31.44
79,47,70.93
30,19,32.85
37,25,24.32
58,58,54.87
0,9,10.45
21,40,21.8
43,20,40.0
41,27,37.96
95,66,85.23
61,25,42.25
26,60,39.07
90,51,71.79
17,3,8.79
66,24,48.25
69,19,40.49
99,52,79.29
85,98,71.2
84,20,58.01
22,77,33.11
84,37,59.2
86,56,78.27
14,19,23.61
90,50,76.01
54,61,53.66
89,14,54.29
90,0,46.3
97,43,69.09
14,57,35.01
5,67,26.24
87,38,56.13
30,9,29.07
42,8,33.67
32,0,16.53
74,100,81.71
35,92,46.16
41,97,56.8
96,72,76.43
63,61,54.39
76,33,61.44
35,28,36.87
30,8,30.18
47,0,34.03
58,1,43.91
15,13,12.43
3,45,6.08
56,97,59.01
71,40,59.48
58,45,50.63
83,43,64.08
9,34,24.8
83,24,61.34
59,8,39.63
60,29,50.59
98,80,78.68
6,28,7.3
15,53,26.55
90,83,85.07
92,62,68.8
2,14,0.0
37,15,17.33
27,49,31.35
51,80,54.23
99,0,66.05
99,50,80.68
4,79,18.7
73,88,62.03
6,9,0.6
5,19,14.56
35,19,23.97
95,61,82.07
25,98,53.84
24,31,25.24
30,70,44.5
77,55,70.36
27,35,23.65
14,18,6.36
55,63,52.52
27,26,31.88
46,5,22.15
4,37,16.05
15,45,30.58
57,90,58.21
91,61,77.93
34,73,33.34
63,25,52.93
53,81,58.36
42,72,38.22
16,37,20.32
87,54,72.0
34,18,18.47
48,46,41.53
27,69,28.02
27,55,39.39
75,15,57.38
32,70,44.71
80,45,53.12
88,50,58.89
68,91,58.58
1,49,10.9
72,47,66.29
92,99,87.62
14,32,25.1
0,6,0.0
46,93,54.99
6,89,25.29
85,67,61.76
77,0,43.16
60,80,61.12
82,54,67.7
40,43,38.38
76,38,64.7
39,43,43.6
7,34,9.87
31,35,37.84
90,16,53.26
75,59,53.58
37,47,29.57
34,62,36.28
0,6,0.32
83,60,58.51
42,96,47.31
10,71,25.23
4,83,23.47
80,44,53.79
71,97,73.36
77,46,62.85
78,81,68.69
85,48,56.65
68,79,66.36
34,87,39.64
83,58,62.32
56,94,56.38
14,61,28.51
74,29,43.15
40,91,59.03
76,96,75.51
60,10,34.86
85,67,77.69
61,30,50.58
65,83,59.08
81,5,57.88
68,8,47.37
98,86,81.73
95,92,81.97
91,55,68.92
17,68,38.35
1,8,12.89
10,33,20.27
8,87,32.57
50,0,35.81
16,59,31.87
67,65,60.22
58,38,49.24
35,95,53.65
72,60,54.72
49,45,49.01
2,97,36.11
45,84,59.49
24,24,22.85
32,14,21.32
19,99,32.07
36,92,43.0
44,97,49.43
34,95,41.41
70,60,56.56
11,44,19.0
48,82,47.42
86,88,70.26
49,65,56.21
62,89,54.91
85,8,62.9
30,10,15.36
54,46,41.48
75,97,70.05
97,18,69.5
72,16,53.31
64,17,40.85
47,0,19.15
11,77,35.87
67,77,64.39
88,30,67.77
38,51,38.94
55,45,52.79
36,72,51.55
96,51,76.4
84,76,78.02
81,51,64.81
53,59,39.86
5,77,19.77
33,98,50.49
40,62,47.14
52,63,43.31
47,42,32.0
31,1,10.44
8,87,27.5
2,43,14.37
56,40,54.58
11,61,21.52
34,12,21.51
82,96,79.71
45,51,36.78
82,47,54.76
69,10,43.0
7,83,26.49
68,90,71.53
85,56,77.53
96,60,81.79
86,76,78.77
15,83,30.81
4,74,18.16
81,11,53.73
97,72,82.58
92,11,63.48
98,18,60.17
100,15,66.75
55,65,43.72
5,14,14.65
12,80,30.3
21,89,35.11
88,89,72.65
65,4,47.2
31,35,19.91
51,72,60.18
83,62,59.79
53,71,58.15
81,90,77.4
24,8,9.81
6,85,24.57
43,97,61.67
10,2,0.0
94,21,66.48
98,40,70.67
46,40,33.8
95,81,80.89
74,90,79.07
14,62,23.81
42,19,40.71
53,23,48.55
24,27,16.33
94,96,82.61
91,62,76.84
96,79,81.95
52,1,34.23
88,78,68.31
82,7,48.34
19,29,12.96
29,58,26.61
52,23,39.32
23,89,31.7
62,2,31.92
7,71,26.53
14,53,23.56
59,94,64.93
37,96,55.43
10,14,6.25
67,36,50.9
17,86,41.95
66,45,44.55
83,74,69.37
86,36,61.55
17,73,36.41
6,17,5.75
9,71,22.86
82,91,75.57
59,94,55.81
55,88,68.71
9,48,10.13
48,71,48.76
20,74,31.34
74,17,52.86
40,62,39.77
31,3,21.65
64,63,56.06
70,44,56.19
90,36,67.66
4,68,32.68
53,61,40.44
59,89,55.22
88,46,68.89
76,43,56.17
42,21,27.9
11,90,42.85
18,32,15.37
13,64,30.3
94,98,89.08
48,54,44.42
63,46,47.38
54,3,29.21
56,68,56.7
100,19,75.6
65,62,65.05
33,58,33.35
3,54,9.26
79,29,53.76
24,75,42.05
64,28,49.17
57,90,57.22
51,8,29.0
39,47,41.45
0,40,12.37
0,59,11.83
35,90,46.01
37,17,17.35
29,78,41.24
62,12,39.63
11,93,26.29
5,32,8.92
22,19,26.81
35,74,38.69
33,28,34.11
26,26,26.89
26,91,38.18
81,20,64.2
45,40,35.74
28,59,40.5
65,92,68.07
42,8,20.1
25,75,32.19
58,72,59.28
27,55,24.34
69,57,48.64
79,52,63.69
64,27,54.84
46,85,52.38
71,49,56.07
6,14,8.0
18,6,3.78
84,100,79.14
16,54,24.89
8,74,21.97
76,83,79.19
44,58,35.64
19,21,14.56
40,35,27.56
13,23,14.16
83,93,86.26
57,75,61.41
40,11,20.55
93,2,47.0
79,48,54.0
15,18,9.87
42,0,28.62
47,73,60.01
52,24,46.98
47,88,55.04
40,1,31.14
20,49,19.1
12,87,41.24
84,64,67.55
69,23,52.77
94,81,78.41
18,4,2.81
93,48,60.34
65,11,44.91
79,93,73.02
31,52,40.39
17,14,17.59
62,8,47.94
87,52,60.66
13,95,41.49
36,33,34.98
54,21,33.22
23,44,30.44
54,41,48.35
33,100,47.53
15,39,17.37
8,11,7.09
56,30,47.48
52,72,62.51
78,30,47.14
41,96,61.3
50,74,50.81
19,27,21.22
70,0,37.52
30,2,10.46
14,38,20.2
22,5,13.59
82,85,69.94
85,15,51.69
94,85,81.34
31,89,51.76
23,28,23.3
41,20,39.84
20,41,26.8
35,17,33.67
46,51,45.24
78,100,86.35
57,24,48.14
14,68,34.13
91,9,53.15
18,72,34.09
50,55,40.19
13,66,33.62
52,97,54.71
99,44,74.07
26,46,30.9
69,78,58.54
45,71,57.89
89,67,78.92
14,96,31.28
91,10,54.24
13,74,29.88
81,6,41.89
34,50,45.24
10,55,25.16
25,54,38.83
96,98,81.23
32,97,52.16
27,60,33.79
64,48,60.77
62,4,29.78
63,81,59.68
10,3,16.69
52,35,36.4
82,61,70.58
68,2,33.98
93,36,62.22
11,10,10.16
25,26,32.35
58,66,53.61
36,10,23.11
15,46,19.19
84,38,61.56
8,70,16.84
85,39,53.42
94,14,59.73
3,22,0.0
89,98,86.36
75,24,47.29
52,7,39.11
47,29,45.36
41,29,40.07
25,9,10.29
25,94,33.28
2,85,33.84
58,68,56.77
62,71,57.46
97,0,67.14
19,97,32.5
37,51,41.38
5,67,15.81
97,8,54.78
66,58,53.24
56,5,41.13
83,54,61.27
31,35,24.74
22,99,52.63
5,73,32.56
54,2,42.69
10,4,0.75
75,51,69.95
74,5,51.09
45,65,56.44
5,19,14.02
35,3,21.07
30,91,38.9
13,54,20.52
61,68,54.23
95,82,76.5
2,54,26.12
79,49,52.29
11,48,16.3
71,47,47.52
86,88,68.61
34,72,48.05
14,12,3.58
29,85,47.43
53,98,67.04
74,83,72.7
67,28,52.11
19,51,20.11
39,97,45.63
